div_dpto;departamento;ano;casos;proyeccion;tasa;hist_dpto;porcentaje
76;VALLE;2023;1702;4622132;36.8228341380125;35154;4.841554303919896
76;VALLE;2022;2199;4589278;47.91603385107636;35154;6.255333674688514
76;VALLE;2021;2590;4556752;56.838730745057006;35154;7.36758263639984
76;VALLE;2020;2552;4532152;56.30879105555153;35154;7.259486829379302
76;VALLE;2019;2248;4506768;49.88053523056878;35154;6.394720373214997
76;VALLE;2018;2242;4475886;50.09064127191801;35154;6.377652614211754
76;VALLE;2017;2383;4432549;53.76139101902765;35154;6.778744950787961
76;VALLE;2016;2380;4414569;53.91239779013535;35154;6.77021107128634
76;VALLE;2015;2602;4397194;59.17410057413887;35154;7.401718154406327
76;VALLE;2014;2735;4383018;62.39992626085497;35154;7.7800534789782105
76;VALLE;2013;3436;4371304;78.60354713376145;35154;9.774136655857086
76;VALLE;2012;3562;4359288;81.71059127086808;35154;10.132559594925187
76;VALLE;2011;3483;4343131;80.19560082346123;35154;9.90783410138249
76;VALLE;2010;1040;4323751;24.053189001864354;35154;2.958411560562098
18;CAQUETÁ;2023;106;423857;25.008434448410668;2531;4.188067957329119
18;CAQUETÁ;2022;143;419275;34.106493351618866;2531;5.649940734887396
18;CAQUETÁ;2021;137;414841;33.02470103003319;2531;5.41288028447254
18;CAQUETÁ;2020;163;410521;39.70564234229187;2531;6.440142236270249
18;CAQUETÁ;2019;158;406142;38.902649812134676;2531;6.242591860924536
18;CAQUETÁ;2018;178;401849;44.295245228929275;2531;7.0327933623073875
18;CAQUETÁ;2017;180;401099;44.87670126327914;2531;7.111813512445673
18;CAQUETÁ;2016;143;399983;35.751519439576185;2531;5.649940734887396
18;CAQUETÁ;2015;179;398725;44.89309674587748;2531;7.072303437376531
18;CAQUETÁ;2014;220;397383;55.36220724087341;2531;8.69221651521138
18;CAQUETÁ;2013;290;395947;73.24212584007456;2531;11.457921770051364
18;CAQUETÁ;2012;272;394379;68.969189535954;2531;10.746740418806795
18;CAQUETÁ;2011;244;392611;62.148029474467094;2531;9.640458316870802
18;CAQUETÁ;2010;118;390645;30.206453429584407;2531;4.662188858158831
5;ANTIOQUIA;2023;1247;6994792;17.827549411047535;29558;4.218824007037012
5;ANTIOQUIA;2022;1887;6887306;27.398230890278434;29558;6.384058461330266
5;ANTIOQUIA;2021;2136;6782584;31.492422357024996;29558;7.226469991203735
5;ANTIOQUIA;2020;2329;6677930;34.87607686813129;29558;7.879423506326544
5;ANTIOQUIA;2019;2362;6550206;36.059934603583464;29558;7.99106840787604
5;ANTIOQUIA;2018;2449;6407102;38.223209182560225;29558;8.28540496650653
5;ANTIOQUIA;2017;1936;6296843;30.74556567473574;29558;6.549834224237093
5;ANTIOQUIA;2016;1878;6211312;30.23515804712434;29558;6.353609851816768
5;ANTIOQUIA;2015;1906;6134953;31.06788267163579;29558;6.448338859192098
5;ANTIOQUIA;2014;1985;6066806;32.719028760768026;29558;6.715609987143921
5;ANTIOQUIA;2013;2484;6001151;41.39205962322894;29558;8.403816225725693
5;ANTIOQUIA;2012;3083;5935916;51.938066509027415;29558;10.430340347790784
5;ANTIOQUIA;2011;2943;5869191;50.143196907376165;29558;9.956695310914135
5;ANTIOQUIA;2010;933;5800160;16.08576315136134;29558;3.156505852899384
15;BOYACÁ;2023;72;1267378;5.68102018498033;1330;5.413533834586466
15;BOYACÁ;2022;105;1259601;8.335973058135076;1330;7.894736842105263
15;BOYACÁ;2021;85;1251675;6.790900193740388;1330;6.390977443609022
15;BOYACÁ;2020;85;1242731;6.839774657588811;1330;6.390977443609022
15;BOYACÁ;2019;91;1230910;7.392904436555069;1330;6.842105263157896
15;BOYACÁ;2018;86;1217376;7.064374523565439;1330;6.466165413533835
15;BOYACÁ;2017;76;1207665;6.293135927595816;1330;5.714285714285714
15;BOYACÁ;2016;106;1199978;8.833495280746813;1330;7.969924812030076
15;BOYACÁ;2015;116;1193206;9.72170773529466;1330;8.721804511278195
15;BOYACÁ;2014;113;1187249;9.517801236303422;1330;8.49624060150376
