div_dpto;departamento;div_mun;municipio;ano;mes;area_geo;proy;casos;tasa;porcentaje;mun_dep
5;Antioquia;5034;Andes;2022;Agosto;Total;45577;1;2.1940891239002127;0.09208103130755065;Andes - Antioquia
5;Antioquia;5034;Andes;2022;Diciembre;Total;45577;5;10.970445619501065;0.41528239202657813;Andes - Antioquia
5;Antioquia;5034;Andes;2022;Enero;Total;45577;1;2.1940891239002127;0.08605851979345956;Andes - Antioquia
5;Antioquia;5034;Andes;2022;Febrero;Total;45577;1;2.1940891239002127;0.0966183574879227;Andes - Antioquia
5;Antioquia;5034;Andes;2022;Julio;Total;45577;3;6.582267371700638;0.2508361204013378;Andes - Antioquia
5;Antioquia;5034;Andes;2022;Junio;Total;45577;4;8.77635649560085;0.3875968992248062;Andes - Antioquia
5;Antioquia;5034;Andes;2022;Marzo;Total;45577;1;2.1940891239002127;0.09242144177449169;Andes - Antioquia
5;Antioquia;5034;Andes;2022;Mayo;Total;45577;3;6.582267371700638;0.2546689303904924;Andes - Antioquia
5;Antioquia;5034;Andes;2022;Noviembre;Total;45577;4;8.77635649560085;0.3669724770642202;Andes - Antioquia
5;Antioquia;5034;Andes;2022;Octubre;Total;45577;7;15.35862386730149;0.6092254134029591;Andes - Antioquia
5;Antioquia;5034;Andes;2022;Septiembre;Total;45577;2;4.388178247800425;0.18298261665141813;Andes - Antioquia
5;Antioquia;5034;Andes;2023;Abril;Total;46289;4;8.641361878632072;0.3868471953578337;Andes - Antioquia
5;Antioquia;5034;Andes;2023;Enero;Total;46289;4;8.641361878632072;0.36363636363636365;Andes - Antioquia
5;Antioquia;5034;Andes;2023;Febrero;Total;46289;3;6.481021408974055;0.30927835051546393;Andes - Antioquia
5;Antioquia;5034;Andes;2023;Julio;Total;46289;1;2.160340469658018;0.08326394671107411;Andes - Antioquia
5;Antioquia;5034;Andes;2023;Junio;Total;46289;3;6.481021408974055;0.264783759929391;Andes - Antioquia
5;Antioquia;5034;Andes;2023;Marzo;Total;46289;4;8.641361878632072;0.37243947858473;Andes - Antioquia
5;Antioquia;5036;Angelópolis;2022;Abril;Total;6023;1;16.603021749958494;0.0881057268722467;Angelópolis - Antioquia
5;Antioquia;5021;Alejandría;2023;Julio;Total;4920;0;0;0;Alejandría - Antioquia
5;Antioquia;5036;Angelópolis;2022;Diciembre;Total;6023;1;16.603021749958494;0.08305647840531562;Angelópolis - Antioquia
5;Antioquia;5036;Angelópolis;2022;Noviembre;Total;6023;1;16.603021749958494;0.09174311926605505;Angelópolis - Antioquia
5;Antioquia;5036;Angelópolis;2023;Febrero;Total;6117;1;16.347882949158084;0.10309278350515465;Angelópolis - Antioquia
5;Antioquia;5036;Angelópolis;2023;Julio;Total;6117;1;16.347882949158084;0.08326394671107411;Angelópolis - Antioquia
5;Antioquia;5036;Angelópolis;2023;Junio;Total;6117;1;16.347882949158084;0.088261253309797;Angelópolis - Antioquia
5;Antioquia;5038;Angostura;2022;Abril;Total;11896;1;8.406186953597848;0.0881057268722467;Angostura - Antioquia
5;Antioquia;5038;Angostura;2022;Agosto;Total;11896;1;8.406186953597848;0.09208103130755065;Angostura - Antioquia
5;Antioquia;5038;Angostura;2022;Diciembre;Total;11896;1;8.406186953597848;0.08305647840531562;Angostura - Antioquia
5;Antioquia;5038;Angostura;2022;Enero;Total;11896;1;8.406186953597848;0.08605851979345956;Angostura - Antioquia
5;Antioquia;5038;Angostura;2022;Febrero;Total;11896;3;25.218560860793545;0.2898550724637681;Angostura - Antioquia
5;Antioquia;5038;Angostura;2022;Julio;Total;11896;1;8.406186953597848;0.08361204013377926;Angostura - Antioquia
5;Antioquia;5038;Angostura;2022;Junio;Total;11896;2;16.812373907195695;0.1937984496124031;Angostura - Antioquia
5;Antioquia;5038;Angostura;2022;Mayo;Total;11896;2;16.812373907195695;0.1697792869269949;Angostura - Antioquia
5;Antioquia;5038;Angostura;2022;Octubre;Total;11896;1;8.406186953597848;0.08703220191470844;Angostura - Antioquia
5;Antioquia;5038;Angostura;2022;Septiembre;Total;11896;1;8.406186953597848;0.09149130832570906;Angostura - Antioquia
5;Antioquia;5038;Angostura;2023;Julio;Total;12081;3;24.832381425378696;0.2497918401332223;Angostura - Antioquia
5;Antioquia;5038;Angostura;2023;Mayo;Total;12081;1;8.277460475126231;0.08944543828264759;Angostura - Antioquia
5;Antioquia;5040;Anorí;2022;Abril;Total;19704;1;5.075111652456354;0.0881057268722467;Anorí - Antioquia
5;Antioquia;5040;Anorí;2022;Enero;Total;19704;1;5.075111652456354;0.08605851979345956;Anorí - Antioquia
5;Antioquia;5040;Anorí;2022;Febrero;Total;19704;2;10.150223304912709;0.1932367149758454;Anorí - Antioquia
5;Antioquia;5040;Anorí;2022;Junio;Total;19704;2;10.150223304912709;0.1937984496124031;Anorí - Antioquia
5;Antioquia;5040;Anorí;2022;Marzo;Total;19704;6;30.45066991473812;0.5545286506469501;Anorí - Antioquia
5;Antioquia;5040;Anorí;2022;Mayo;Total;19704;6;30.45066991473812;0.5093378607809848;Anorí - Antioquia
5;Antioquia;5040;Anorí;2022;Noviembre;Total;19704;2;10.150223304912709;0.1834862385321101;Anorí - Antioquia
5;Antioquia;5040;Anorí;2022;Octubre;Total;19704;1;5.075111652456354;0.08703220191470844;Anorí - Antioquia
