div_mun;Proy
5107;8373
5101;27134
5093;16392
5091;10605
5088;569488
5086;6307
5079;56053
50711;17060
50689;26925
50686;1263
50683;9007
50680;13084
50606;18958
5059;5232
50590;13081
50577;10520
50573;30799
50568;44314
5055;7780
5051;31462
5045;131754
50450;8707
5044;7393
5042;27844
5040;19704
50400;11341
5038;11896
50370;9634
5036;6023
50350;28508
5034;45577
50330;10598
50325;7271
5031;27921
50318;14697
50313;71725
5030;32259
50287;12587
50270;4035
50251;7527
50245;1679
50226;23568
50223;7182
5021;4845
50150;16165
50124;6291
50110;6684
5004;2820
5002;20920
5001;2612958
50006;93323
50001;554173
47980;75824
47960;10884
47798;13846
47745;29905
47720;11584
47707;26737
47703;12757
47692;21221
47675;11582
47660;17152
47605;12232
47570;33011
47555;65641
47551;39962
47545;13238
47541;9526
47460;21707
47318;28626
47288;72280
47268;21591
47258;24699
47245;71484
47205;11514
47189;127494
47170;23986
47161;10193
47058;32601
47053;42545
47030;17214
47001;552391
44874;30344
44855;11688
44847;197327
44650;51463
44560;96991
44430;192085
44420;3979
44378;22873
44279;46232
44110;8178
44098;14788
44090;43663
44078;39801
44035;33494
44001;209488
41885;7951
41872;7357
41807;22428
41801;8225
41799;11991
41797;11102
41791;18016
41770;23102
41676;10632
41668;34281
41660;10738
41615;25544
41551;130742
41548;14153
41530;11582
41524;27322
41518;6832
41503;12116
41483;6680
41396;63404
41378;13378
41359;26141
41357;9497
41349;7507
41319;18602
41306;25127
41298;75353
41244;4371
41206;7179
41132;31865
41078;8403
41026;4439
41020;22941
41016;16818
41013;9082
41006;25713
41001;370318
27810;7095
27800;13027
27787;18199
27745;3271
27660;5040
27615;56126
27600;8585
27580;5682
27495;16911
27491;9250
27450;11001
27430;15937
27425;11107
27413;10071
27372;6952
27361;31298
27250;23260
27245;8343
27205;12565
27160;5853
27150;19825
27135;6388
27099;12525
27077;30959
27075;10443
27073;11444
27050;6308
27025;28751
27006;14385
27001;132918
25899;156983
25898;5386
25885;13474
25878;14883
25875;31238
25873;19768
25871;1958
25867;5005
25862;7686
25851;4755
25845;7905
25843;50309
25841;7579
25839;8353
