div_dpto;dpto;div_mun;municipio;PDET;CATEGORIA
15;Boyacá;15223;Cubará;N/A;6
15;Boyacá;15224;Cucaita;N/A;6
15;Boyacá;15226;Cuítiva;N/A;6
15;Boyacá;15232;Chíquiza;N/A;6
15;Boyacá;15236;Chivor;N/A;6
15;Boyacá;15238;Duitama;N/A;3
15;Boyacá;15244;El Cocuy;N/A;6
15;Boyacá;15248;El Espino;N/A;6
15;Boyacá;15272;Firavitoba;N/A;6
15;Boyacá;15276;Floresta;N/A;6
15;Boyacá;15293;Gachantivá;N/A;6
15;Boyacá;15296;Gámeza;N/A;6
15;Boyacá;15299;Garagoa;N/A;6
15;Boyacá;15317;Guacamayas;N/A;6
15;Boyacá;15322;Guateque;N/A;6
15;Boyacá;15325;Guayatá;N/A;6
15;Boyacá;15332;Güicán de La Sierra;N/A;6
15;Boyacá;15362;Iza;N/A;6
15;Boyacá;15367;Jenesano;N/A;6
15;Boyacá;15368;Jericó;N/A;6
15;Boyacá;15377;Labranzagrande;N/A;6
15;Boyacá;15380;La Capilla;N/A;6
15;Boyacá;15401;La Victoria;N/A;6
15;Boyacá;15403;La Uvita;N/A;6
15;Boyacá;15407;Villa de Leyva;N/A;6
15;Boyacá;15425;Macanal;N/A;6
15;Boyacá;15442;Maripí;N/A;6
15;Boyacá;15455;Miraflores;N/A;6
15;Boyacá;15464;Mongua;N/A;6
15;Boyacá;15466;Monguí;N/A;6
15;Boyacá;15469;Moniquirá;N/A;6
15;Boyacá;15476;Motavita;N/A;6
15;Boyacá;15480;Muzo;N/A;6
15;Boyacá;15491;Nobsa;N/A;4
15;Boyacá;15494;Nuevo Colón;N/A;6
15;Boyacá;15500;Oicatá;N/A;6
15;Boyacá;15507;Otanche;N/A;6
15;Boyacá;15511;Pachavita;N/A;6
15;Boyacá;15514;Páez;N/A;6
15;Boyacá;15516;Paipa;N/A;5
15;Boyacá;15518;Pajarito;N/A;6
15;Boyacá;15522;Panqueba;N/A;6
15;Boyacá;15531;Pauna;N/A;6
15;Boyacá;15533;Paya;N/A;6
15;Boyacá;15537;Paz de Río;N/A;6
15;Boyacá;15542;Pesca;N/A;6
15;Boyacá;15550;Pisba;N/A;6
15;Boyacá;15572;Puerto Boyacá;N/A;3
15;Boyacá;15580;Quípama;N/A;6
15;Boyacá;15599;Ramiriquí;N/A;6
15;Boyacá;15600;Ráquira;N/A;6
15;Boyacá;15621;Rondón;N/A;6
15;Boyacá;15632;Saboyá;N/A;6
15;Boyacá;15638;Sáchica;N/A;6
15;Boyacá;15646;Samacá;N/A;6
15;Boyacá;15660;San Eduardo;N/A;6
15;Boyacá;15664;San José de Pare;N/A;6
15;Boyacá;15667;San Luis de Gaceno;N/A;6
15;Boyacá;15673;San Mateo;N/A;6
15;Boyacá;15676;San Miguel de Sema;N/A;6
15;Boyacá;15681;San Pablo de Borbur;N/A;6
15;Boyacá;15686;Santana;N/A;6
15;Boyacá;15690;Santa María;N/A;6
15;Boyacá;15693;Santa Rosa de Viterbo;N/A;6
15;Boyacá;15696;Santa Sofía;N/A;6
15;Boyacá;15720;Sativanorte;N/A;6
15;Boyacá;15723;Sativasur;N/A;6
15;Boyacá;15740;Siachoque;N/A;6
15;Boyacá;15753;Soatá;N/A;6
15;Boyacá;15755;Socotá;N/A;6
15;Boyacá;15757;Socha;N/A;6
15;Boyacá;15759;Sogamoso;N/A;2
15;Boyacá;15761;Somondoco;N/A;6
15;Boyacá;15762;Sora;N/A;6
15;Boyacá;15763;Sotaquirá;N/A;6
15;Boyacá;15764;Soracá;N/A;6
15;Boyacá;15774;Susacón;N/A;6
15;Boyacá;15776;Sutamarchán;N/A;6
15;Boyacá;15778;Sutatenza;N/A;6
15;Boyacá;15790;Tasco;N/A;6
15;Boyacá;15798;Tenza;N/A;6
15;Boyacá;15804;Tibaná;N/A;6
15;Boyacá;15806;Tibasosa;N/A;6
15;Boyacá;15808;Tinjacá;N/A;6
15;Boyacá;15810;Tipacoque;N/A;6
15;Boyacá;15814;Toca;N/A;6
15;Boyacá;15816;Togüí;N/A;6
15;Boyacá;15820;Tópaga;N/A;6
15;Boyacá;15822;Tota;N/A;6
15;Boyacá;15832;Tununguá;N/A;6
15;Boyacá;15835;Turmequé;N/A;6
15;Boyacá;15837;Tuta;N/A;6
15;Boyacá;15839;Tutazá;N/A;6
15;Boyacá;15842;Úmbita;N/A;6
15;Boyacá;15861;Ventaquemada;N/A;6
15;Boyacá;15879;Viracachá;N/A;6
15;Boyacá;15897;Zetaquira;N/A;6
17;Caldas;17001;Manizales;N/A;1
17;Caldas;17013;Aguadas;N/A;6
17;Caldas;17042;Anserma;N/A;6
17;Caldas;17050;Aranzazu;N/A;6
17;Caldas;17088;Belalcázar;N/A;6
17;Caldas;17174;Chinchiná;N/A;5
17;Caldas;17272;Filadelfia;N/A;6
17;Caldas;17380;La Dorada;N/A;5
17;Caldas;17388;La Merced;N/A;6
17;Caldas;17433;Manzanares;N/A;6
17;Caldas;17442;Marmato;N/A;6
17;Caldas;17444;Marquetalia;N/A;6
17;Caldas;17446;Marulanda;N/A;6
17;Caldas;17486;Neira;N/A;6
17;Caldas;17495;Norcasia;N/A;6
17;Caldas;17513;Pácora;N/A;6
17;Caldas;17524;Palestina;N/A;6
17;Caldas;17541;Pensilvania;N/A;6
17;Caldas;17614;Riosucio;N/A;6
17;Caldas;17616;Risaralda;N/A;6
17;Caldas;17653;Salamina;N/A;6
17;Caldas;17662;Samaná;N/A;6
17;Caldas;17665;San José;N/A;6
17;Caldas;17777;Supía;N/A;6
17;Caldas;17867;Victoria;N/A;6
17;Caldas;17873;Villamaría;N/A;5
17;Caldas;17877;Viterbo;N/A;6
18;Caquetá;18001;Florencia;PDET;3
18;Caquetá;18029;Albania;PDET;6
18;Caquetá;18094;Belén de Los Andaquíes;PDET;6
18;Caquetá;18150;Cartagena del Chairá;PDET;6
18;Caquetá;18205;Curillo;PDET;6
18;Caquetá;18247;El Doncello;PDET;6
18;Caquetá;18256;El Paujíl;PDET;6
18;Caquetá;18410;La Montañita;PDET;6
18;Caquetá;18460;Milán;PDET;6
18;Caquetá;18479;Morelia;PDET;6
18;Caquetá;18592;Puerto Rico;PDET;6
18;Caquetá;18610;San José del Fragua;PDET;6
18;Caquetá;18753;San Vicente del Caguán;PDET;6
18;Caquetá;18756;Solano;PDET;6
18;Caquetá;18785;Solita;PDET;6
18;Caquetá;18860;Valparaíso;PDET;6
19;Cauca;19001;Popayán;N/A;1
19;Cauca;19022;Almaguer;N/A;6
19;Cauca;19050;Argelia;PDET;6
19;Cauca;19075;Balboa;PDET;6
19;Cauca;19100;Bolívar;N/A;6
19;Cauca;19110;Buenos Aires;PDET;6
19;Cauca;19130;Cajibío;PDET;6
19;Cauca;19137;Caldono;PDET;6
19;Cauca;19142;Caloto;PDET;6
19;Cauca;19212;Corinto;PDET;6
19;Cauca;19256;El Tambo;PDET;6
19;Cauca;19290;Florencia;N/A;6
19;Cauca;19300;Guachené;N/A;#N/D
19;Cauca;19318;Guapi;PDET;6
19;Cauca;19355;Inzá;N/A;6
19;Cauca;19364;Jambaló;PDET;6
19;Cauca;19392;La Sierra;N/A;6
19;Cauca;19397;La Vega;N/A;6
19;Cauca;19418;López de Micay;PDET;6
19;Cauca;19450;Mercaderes;PDET;6
19;Cauca;19455;Miranda;PDET;5
19;Cauca;19473;Morales;PDET;6
19;Cauca;19513;Padilla;N/A;6
19;Cauca;19517;Páez;N/A;6
19;Cauca;19532;Patía;PDET;6
19;Cauca;19533;Piamonte;N/A;6
19;Cauca;19548;Piendamó - Tunía;PDET;6
19;Cauca;19573;Puerto Tejada;N/A;5
19;Cauca;19585;Puracé;N/A;6
19;Cauca;19622;Rosas;N/A;6
19;Cauca;19693;San Sebastián;N/A;6
19;Cauca;19698;Santander de Quilichao;PDET;5
19;Cauca;19701;Santa Rosa;N/A;6
19;Cauca;19743;Silvia;N/A;6
19;Cauca;19760;Sotará Paispamba;N/A;6
19;Cauca;19780;Suárez;PDET;6
19;Cauca;19785;Sucre;N/A;6
19;Cauca;19807;Timbío;N/A;6
19;Cauca;19809;Timbiquí;PDET;6
19;Cauca;19821;Toribío;PDET;6
19;Cauca;19824;Totoró;N/A;6
19;Cauca;19845;Villa Rica;N/A;5
20;Cesar;20001;Valledupar;PDET;1
20;Cesar;20011;Aguachica;N/A;6
20;Cesar;20013;Agustín Codazzi;PDET;6
20;Cesar;20032;Astrea;N/A;6
20;Cesar;20045;Becerril;PDET;6
20;Cesar;20060;Bosconia;N/A;6
20;Cesar;20175;Chimichagua;N/A;6
20;Cesar;20178;Chiriguaná;N/A;6
20;Cesar;20228;Curumaní;N/A;6
20;Cesar;20238;El Copey;N/A;6
20;Cesar;20250;El Paso;N/A;6
20;Cesar;20295;Gamarra;N/A;6
20;Cesar;20310;González;N/A;6
20;Cesar;20383;La Gloria;N/A;6
20;Cesar;20400;La Jagua de Ibirico;PDET;6
20;Cesar;20443;Manaure Balcón del Cesar;PDET;6
20;Cesar;20517;Pailitas;N/A;6
20;Cesar;20550;Pelaya;N/A;6
20;Cesar;20570;Pueblo Bello;PDET;6
20;Cesar;20614;Río de Oro;N/A;6
20;Cesar;20621;La Paz;PDET;6
20;Cesar;20710;San Alberto;N/A;6
20;Cesar;20750;San Diego;PDET;6
20;Cesar;20770;San Martín;N/A;6
20;Cesar;20787;Tamalameque;N/A;6
23;Córdoba;23001;Montería;N/A;1
23;Córdoba;23068;Ayapel;N/A;6
23;Córdoba;23079;Buenavista;N/A;6
23;Córdoba;23090;Canalete;N/A;6
23;Córdoba;23162;Cereté;N/A;6
23;Córdoba;23168;Chimá;N/A;6
23;Córdoba;23182;Chinú;N/A;6
23;Córdoba;23189;Ciénaga de Oro;N/A;6
23;Córdoba;23300;Cotorra;N/A;6
23;Córdoba;23350;La Apartada;N/A;6
23;Córdoba;23417;Lorica;N/A;6
23;Córdoba;23419;Los Córdobas;N/A;6
23;Córdoba;23464;Momil;N/A;6
23;Córdoba;23466;Montelíbano;PDET;6
23;Córdoba;23500;Moñitos;N/A;6
23;Córdoba;23555;Planeta Rica;N/A;6
23;Córdoba;23570;Pueblo Nuevo;N/A;6
23;Córdoba;23574;Puerto Escondido;N/A;6
23;Córdoba;23580;Puerto Libertador;PDET;6
23;Córdoba;23586;Purísima de La Concepción;N/A;6
23;Córdoba;23660;Sahagún;N/A;5
23;Córdoba;23670;San Andrés Sotavento;N/A;6
23;Córdoba;23672;San Antero;N/A;6
23;Córdoba;23675;San Bernardo del Viento;N/A;6
23;Córdoba;23678;San Carlos;N/A;6
23;Córdoba;23682;San José de Uré;PDET;6
23;Córdoba;23686;San Pelayo;N/A;6
23;Córdoba;23807;Tierralta;PDET;6
23;Córdoba;23815;Tuchín;N/A;6
23;Córdoba;23855;Valencia;PDET;6
25;Cundinamarca;25001;Agua de Dios;N/A;6
25;Cundinamarca;25019;Albán;N/A;6
25;Cundinamarca;25035;Anapoima;N/A;5
25;Cundinamarca;25040;Anolaima;N/A;6
25;Cundinamarca;25053;Arbeláez;N/A;6
25;Cundinamarca;25086;Beltrán;N/A;6
25;Cundinamarca;25095;Bituima;N/A;6
25;Cundinamarca;25099;Bojacá;N/A;6
25;Cundinamarca;25120;Cabrera;N/A;6
25;Cundinamarca;25123;Cachipay;N/A;6
25;Cundinamarca;25126;Cajicá;N/A;2
25;Cundinamarca;25148;Caparrapí;N/A;6
25;Cundinamarca;25151;Cáqueza;N/A;6
25;Cundinamarca;25154;Carmen de Carupa;N/A;6
25;Cundinamarca;25168;Chaguaní;N/A;6
25;Cundinamarca;25175;Chía;N/A;1
25;Cundinamarca;25178;Chipaque;N/A;6
25;Cundinamarca;25181;Choachí;N/A;6
25;Cundinamarca;25183;Chocontá;N/A;6
25;Cundinamarca;25200;Cogua;N/A;5
25;Cundinamarca;25214;Cota;N/A;2
25;Cundinamarca;25224;Cucunubá;N/A;6
25;Cundinamarca;25245;El Colegio;N/A;6
25;Cundinamarca;25258;El Peñón;N/A;6
25;Cundinamarca;25260;El Rosal;N/A;6
25;Cundinamarca;25269;Facatativá;N/A;2
25;Cundinamarca;25279;Fómeque;N/A;6
25;Cundinamarca;25281;Fosca;N/A;6
25;Cundinamarca;25286;Funza;N/A;1
25;Cundinamarca;25288;Fúquene;N/A;6
25;Cundinamarca;25290;Fusagasugá;N/A;2
25;Cundinamarca;25293;Gachalá;N/A;6
25;Cundinamarca;25295;Gachancipá;N/A;6
25;Cundinamarca;25297;Gachetá;N/A;6
25;Cundinamarca;25299;Gama;N/A;6
25;Cundinamarca;25307;Girardot;N/A;3
25;Cundinamarca;25312;Granada;N/A;6
25;Cundinamarca;25317;Guachetá;N/A;6
25;Cundinamarca;25320;Guaduas;N/A;6
25;Cundinamarca;25322;Guasca;N/A;6
25;Cundinamarca;25324;Guataquí;N/A;6
25;Cundinamarca;25326;Guatavita;N/A;6
25;Cundinamarca;25328;Guayabal de Síquima;N/A;6
25;Cundinamarca;25335;Guayabetal;N/A;6
25;Cundinamarca;25339;Gutiérrez;N/A;6
25;Cundinamarca;25368;Jerusalén;N/A;6
25;Cundinamarca;25372;Junín;N/A;6
25;Cundinamarca;25377;La Calera;N/A;4
25;Cundinamarca;25386;La Mesa;N/A;5
25;Cundinamarca;25394;La Palma;N/A;6
25;Cundinamarca;25398;La Peña;N/A;6
25;Cundinamarca;25402;La Vega;N/A;6
25;Cundinamarca;25407;Lenguazaque;N/A;6
25;Cundinamarca;25426;Machetá;N/A;6
25;Cundinamarca;25430;Madrid;N/A;2
25;Cundinamarca;25436;Manta;N/A;6
25;Cundinamarca;25438;Medina;N/A;6
25;Cundinamarca;25473;Mosquera;N/A;1
25;Cundinamarca;25483;Nariño;N/A;6
25;Cundinamarca;25486;Nemocón;N/A;6
25;Cundinamarca;25488;Nilo;N/A;6
25;Cundinamarca;25489;Nimaima;N/A;6
25;Cundinamarca;25491;Nocaima;N/A;6
25;Cundinamarca;25506;Venecia;N/A;6
25;Cundinamarca;25513;Pacho;N/A;6
25;Cundinamarca;25518;Paime;N/A;6
25;Cundinamarca;25524;Pandi;N/A;6
25;Cundinamarca;25530;Paratebueno;N/A;6
25;Cundinamarca;25535;Pasca;N/A;6
25;Cundinamarca;25572;Puerto Salgar;N/A;6
25;Cundinamarca;25580;Pulí;N/A;6
25;Cundinamarca;25592;Quebradanegra;N/A;6
25;Cundinamarca;25594;Quetame;N/A;6
25;Cundinamarca;25596;Quipile;N/A;6
25;Cundinamarca;25599;Apulo;N/A;6
25;Cundinamarca;25612;Ricaurte;N/A;4
25;Cundinamarca;25645;San Antonio del Tequendama;N/A;6
25;Cundinamarca;25649;San Bernardo;N/A;6
25;Cundinamarca;25653;San Cayetano;N/A;6
25;Cundinamarca;25658;San Francisco;N/A;6
25;Cundinamarca;25662;San Juan de Rioseco;N/A;6
25;Cundinamarca;25718;Sasaima;N/A;6
25;Cundinamarca;25736;Sesquilé;N/A;6
25;Cundinamarca;25740;Sibaté;N/A;5
25;Cundinamarca;25743;Silvania;N/A;6
25;Cundinamarca;25745;Simijaca;N/A;6
25;Cundinamarca;25754;Soacha;N/A;1
25;Cundinamarca;25758;Sopó;N/A;3
25;Cundinamarca;25769;Subachoque;N/A;6
25;Cundinamarca;25772;Suesca;N/A;6
25;Cundinamarca;25777;Supatá;N/A;6
25;Cundinamarca;25779;Susa;N/A;6
25;Cundinamarca;25781;Sutatausa;N/A;6
25;Cundinamarca;25785;Tabio;N/A;6
25;Cundinamarca;25793;Tausa;N/A;6
25;Cundinamarca;25797;Tena;N/A;6
25;Cundinamarca;25799;Tenjo;N/A;3
25;Cundinamarca;25805;Tibacuy;N/A;6
25;Cundinamarca;25807;Tibirita;N/A;6
25;Cundinamarca;25815;Tocaima;N/A;6
25;Cundinamarca;25817;Tocancipá;N/A;2
25;Cundinamarca;25823;Topaipí;N/A;6
25;Cundinamarca;25839;Ubalá;N/A;6
25;Cundinamarca;25841;Ubaque;N/A;6
25;Cundinamarca;25843;Villa de San Diego de Ubaté;N/A;6
25;Cundinamarca;25845;Une;N/A;6
25;Cundinamarca;25851;Útica;N/A;6
25;Cundinamarca;25862;Vergara;N/A;6
25;Cundinamarca;25867;Vianí;N/A;6
25;Cundinamarca;25871;Villagómez;N/A;6
25;Cundinamarca;25873;Villapinzón;N/A;6
25;Cundinamarca;25875;Villeta;N/A;6
25;Cundinamarca;25878;Viotá;N/A;6
25;Cundinamarca;25885;Yacopí;N/A;6
25;Cundinamarca;25898;Zipacón;N/A;6
25;Cundinamarca;25899;Zipaquirá;N/A;2
27;Chocó;27001;Quibdó;N/A;3
27;Chocó;27006;Acandí;PDET;6
27;Chocó;27025;Alto Baudó;N/A;6
27;Chocó;27050;Atrato;N/A;6
27;Chocó;27073;Bagadó;N/A;6
27;Chocó;27075;Bahía Solano;N/A;6
27;Chocó;27077;Bajo Baudó;N/A;6
27;Chocó;27099;Bojayá;PDET;6
27;Chocó;27135;El Cantón del San Pablo;N/A;6
27;Chocó;27150;Carmen del Darién;PDET;6
27;Chocó;27160;Cértegui;N/A;6
27;Chocó;27205;Condoto;PDET;6
27;Chocó;27245;El Carmen de Atrato;N/A;6
27;Chocó;27250;El Litoral del San Juan;PDET;6
27;Chocó;27361;Istmina;PDET;6
27;Chocó;27372;Juradó;N/A;6
27;Chocó;27413;Lloró;N/A;6
