div_dpto;departamento;div_mun;municipio;ano;mes;area_geo;proy;casos;tasa;porcentaje;mun_dep;concat;CambioCasos;CambioPor;Indicador;PDET;CATEGORIA
99;Vichada;99624;Santa Rosalía;2023;Julio;Total;4340;0;0.0;0.0;Santa Rosalía-Vichada;99624-Julio-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99624;Santa Rosalía;2022;Julio;Total;4297;0;0.0;0.0;Santa Rosalía-Vichada;99624-Julio-2022;F;F;MAYOR;N/A;6
99;Vichada;99624;Santa Rosalía;2023;Febrero;Total;4340;0;0.0;0.0;Santa Rosalía-Vichada;99624-Febrero-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99624;Santa Rosalía;2022;Febrero;Total;4297;0;0.0;0.0;Santa Rosalía-Vichada;99624-Febrero-2022;F;F;MAYOR;N/A;6
99;Vichada;99624;Santa Rosalía;2023;Enero;Total;4340;0;0.0;0.0;Santa Rosalía-Vichada;99624-Enero-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99624;Santa Rosalía;2022;Enero;Total;4297;0;0.0;0.0;Santa Rosalía-Vichada;99624-Enero-2022;F;F;MAYOR;N/A;6
99;Vichada;99624;Santa Rosalía;2023;Diciembre;Total;4340;0;0.0;;Santa Rosalía-Vichada;99624-Diciembre-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99624;Santa Rosalía;2022;Diciembre;Total;4297;0;0.0;0.0;Santa Rosalía-Vichada;99624-Diciembre-2022;F;F;MAYOR;N/A;6
99;Vichada;99624;Santa Rosalía;2023;Agosto;Total;4340;0;0.0;0.0;Santa Rosalía-Vichada;99624-Agosto-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99624;Santa Rosalía;2022;Agosto;Total;4297;0;0.0;0.0;Santa Rosalía-Vichada;99624-Agosto-2022;F;F;MAYOR;N/A;6
99;Vichada;99624;Santa Rosalía;2023;Abril;Total;4340;0;0.0;0.0;Santa Rosalía-Vichada;99624-Abril-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99624;Santa Rosalía;2022;Abril;Total;4297;0;0.0;0.0;Santa Rosalía-Vichada;99624-Abril-2022;F;F;MAYOR;N/A;6
99;Vichada;99524;La Primavera;2023;Septiembre;Total;9946;0;0.0;0.0;La Primavera-Vichada;99524-Septiembre-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99524;La Primavera;2022;Septiembre;Total;9846;0;0.0;0.0;La Primavera-Vichada;99524-Septiembre-2022;F;F;MAYOR;N/A;6
99;Vichada;99524;La Primavera;2023;Octubre;Total;9946;0;0.0;;La Primavera-Vichada;99524-Octubre-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99524;La Primavera;2022;Octubre;Total;9846;0;0.0;0.0;La Primavera-Vichada;99524-Octubre-2022;F;F;MAYOR;N/A;6
99;Vichada;99524;La Primavera;2023;Noviembre;Total;9946;0;0.0;;La Primavera-Vichada;99524-Noviembre-2023;-1.0;-100.0;MENOR;N/A;6
99;Vichada;99524;La Primavera;2022;Noviembre;Total;9846;1;10.156408693885842;0.091743119266055;La Primavera-Vichada;99524-Noviembre-2022;F;F;MAYOR;N/A;6
99;Vichada;99524;La Primavera;2023;Mayo;Total;9946;0;0.0;0.0;La Primavera-Vichada;99524-Mayo-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99524;La Primavera;2022;Mayo;Total;9846;0;0.0;0.0;La Primavera-Vichada;99524-Mayo-2022;F;F;MAYOR;N/A;6
99;Vichada;99524;La Primavera;2023;Marzo;Total;9946;0;0.0;0.0;La Primavera-Vichada;99524-Marzo-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99524;La Primavera;2022;Marzo;Total;9846;0;0.0;0.0;La Primavera-Vichada;99524-Marzo-2022;F;F;MAYOR;N/A;6
99;Vichada;99524;La Primavera;2023;Junio;Total;9946;0;0.0;0.0;La Primavera-Vichada;99524-Junio-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99524;La Primavera;2022;Junio;Total;9846;0;0.0;0.0;La Primavera-Vichada;99524-Junio-2022;F;F;MAYOR;N/A;6
99;Vichada;99524;La Primavera;2023;Julio;Total;9946;1;10.05429318318922;0.0816326530612245;La Primavera-Vichada;99524-Julio-2023;1.0;100.0;MAYOR;N/A;6
99;Vichada;99524;La Primavera;2022;Julio;Total;9846;0;0.0;0.0;La Primavera-Vichada;99524-Julio-2022;F;F;MAYOR;N/A;6
