div_dpto;departamento;div_mun;municipio;casos;mes;ano;prueba;CambioCasos;CambioPor;Indicador;población;PDET;CATEGORIA
94;Guainía;94001;Inírida;0;Enero - Septiembre;2023;94001-Enero - Septiembre-2023;-1.0;-100.0;MENOR;34963;N/A;6
94;Guainía;94001;Inírida;1;Enero - Septiembre;2022;94001-Enero - Septiembre-2022;F;F;MAYOR;34963;N/A;6
91;Amazonas;91798;Tarapacá (CD);1;Enero - Septiembre;2023;91798-Enero - Septiembre-2023;1.0;100.0;MAYOR;4005;N/A;null
91;Amazonas;91798;Tarapacá (CD);0;Enero - Septiembre;2022;91798-Enero - Septiembre-2022;F;F;MAYOR;4005;N/A;null
91;Amazonas;91669;Puerto Santander (CD);0;Enero - Septiembre;2023;91669-Enero - Septiembre-2023;0.0;0.0;IGUAL;1801;N/A;null
91;Amazonas;91669;Puerto Santander (CD);0;Enero - Septiembre;2022;91669-Enero - Septiembre-2022;F;F;MAYOR;1801;N/A;null
91;Amazonas;91540;Puerto Nariño;0;Enero - Septiembre;2023;91540-Enero - Septiembre-2023;0.0;0.0;IGUAL;10705;N/A;6
91;Amazonas;91540;Puerto Nariño;0;Enero - Septiembre;2022;91540-Enero - Septiembre-2022;F;F;MAYOR;10705;N/A;6
91;Amazonas;91536;Puerto Arica (CD);0;Enero - Septiembre;2023;91536-Enero - Septiembre-2023;0.0;0.0;IGUAL;1059;N/A;null
91;Amazonas;91536;Puerto Arica (CD);0;Enero - Septiembre;2022;91536-Enero - Septiembre-2022;F;F;MAYOR;1059;N/A;null
91;Amazonas;91530;Puerto Alegría (CD);0;Enero - Septiembre;2023;91530-Enero - Septiembre-2023;0.0;0.0;IGUAL;784;N/A;null
91;Amazonas;91530;Puerto Alegría (CD);0;Enero - Septiembre;2022;91530-Enero - Septiembre-2022;F;F;MAYOR;784;N/A;null
91;Amazonas;91460;Miriti - Paraná (CD);0;Enero - Septiembre;2023;91460-Enero - Septiembre-2023;0.0;0.0;IGUAL;1910;N/A;null
91;Amazonas;91460;Miriti - Paraná (CD);0;Enero - Septiembre;2022;91460-Enero - Septiembre-2022;F;F;MAYOR;1910;N/A;null
91;Amazonas;91430;La Victoria (CD);0;Enero - Septiembre;2023;91430-Enero - Septiembre-2023;0.0;0.0;IGUAL;673;N/A;null
91;Amazonas;91430;La Victoria (CD);0;Enero - Septiembre;2022;91430-Enero - Septiembre-2022;F;F;MAYOR;673;N/A;null
91;Amazonas;91407;La Pedrera (CD);0;Enero - Septiembre;2023;91407-Enero - Septiembre-2023;0.0;0.0;IGUAL;4013;N/A;null
91;Amazonas;91407;La Pedrera (CD);0;Enero - Septiembre;2022;91407-Enero - Septiembre-2022;F;F;MAYOR;4013;N/A;null
91;Amazonas;91405;La Chorrera (CD);0;Enero - Septiembre;2023;91405-Enero - Septiembre-2023;0.0;0.0;IGUAL;3004;N/A;null
91;Amazonas;91405;La Chorrera (CD);0;Enero - Septiembre;2022;91405-Enero - Septiembre-2022;F;F;MAYOR;3004;N/A;null
91;Amazonas;91263;El Encanto (CD);0;Enero - Septiembre;2023;91263-Enero - Septiembre-2023;0.0;0.0;IGUAL;2111;N/A;null
91;Amazonas;91263;El Encanto (CD);0;Enero - Septiembre;2022;91263-Enero - Septiembre-2022;F;F;MAYOR;2111;N/A;null
91;Amazonas;91001;Leticia;16;Enero - Septiembre;2023;91001-Enero - Septiembre-2023;-8.0;-33.33333333333333;MENOR;52003;N/A;5
91;Amazonas;91001;Leticia;24;Enero - Septiembre;2022;91001-Enero - Septiembre-2022;F;F;MAYOR;52003;N/A;5
88;Archipiélago de San Andrés;88564;Providencia;0;Enero - Septiembre;2023;88564-Enero - Septiembre-2023;0.0;0.0;IGUAL;6411;N/A;5
88;Archipiélago de San Andrés;88564;Providencia;0;Enero - Septiembre;2022;88564-Enero - Septiembre-2022;F;F;MAYOR;6411;N/A;5
8;Atlántico;8849;Usiacurí;0;Enero - Septiembre;2023;8849-Enero - Septiembre-2023;0.0;0.0;IGUAL;13538;N/A;6
8;Atlántico;8849;Usiacurí;0;Enero - Septiembre;2022;8849-Enero - Septiembre-2022;F;F;MAYOR;13538;N/A;6
8;Atlántico;8832;Tubará;2;Enero - Septiembre;2023;8832-Enero - Septiembre-2023;-1.0;-33.33333333333333;MENOR;19415;N/A;6
8;Atlántico;8832;Tubará;3;Enero - Septiembre;2022;8832-Enero - Septiembre-2022;F;F;MAYOR;19415;N/A;6
88;Archipiélago de San Andrés;88001;San Andrés;29;Enero - Septiembre;2023;88001-Enero - Septiembre-2023;12.0;70.58823529411765;MAYOR;58817;N/A;#N/D
88;Archipiélago de San Andrés;88001;San Andrés;17;Enero - Septiembre;2022;88001-Enero - Septiembre-2022;F;F;MAYOR;58817;N/A;#N/D
8;Atlántico;8770;Suan;0;Enero - Septiembre;2023;8770-Enero - Septiembre-2023;-2.0;-100.0;MENOR;12949;N/A;6
8;Atlántico;8770;Suan;2;Enero - Septiembre;2022;8770-Enero - Septiembre-2022;F;F;MAYOR;12949;N/A;6
8;Atlántico;8758;Soledad;172;Enero - Septiembre;2023;8758-Enero - Septiembre-2023;37.0;27.40740740740741;MAYOR;685106;N/A;2
8;Atlántico;8758;Soledad;135;Enero - Septiembre;2022;8758-Enero - Septiembre-2022;F;F;MAYOR;685106;N/A;2
86;Putumayo;86885;Villagarzón;8;Enero - Septiembre;2023;86885-Enero - Septiembre-2023;1.0;14.285714285714285;MAYOR;24759;PDET;6
86;Putumayo;86885;Villagarzón;7;Enero - Septiembre;2022;86885-Enero - Septiembre-2022;F;F;MAYOR;24759;PDET;6
86;Putumayo;86865;Valle del Guamuez;28;Enero - Septiembre;2023;86865-Enero - Septiembre-2023;5.0;21.73913043478261;MAYOR;35621;PDET;6
86;Putumayo;86865;Valle del Guamuez;23;Enero - Septiembre;2022;86865-Enero - Septiembre-2022;F;F;MAYOR;35621;PDET;6
8;Atlántico;8685;Santo Tomás;4;Enero - Septiembre;2023;8685-Enero - Septiembre-2023;2.0;100.0;MAYOR;32960;N/A;6
8;Atlántico;8685;Santo Tomás;2;Enero - Septiembre;2022;8685-Enero - Septiembre-2022;F;F;MAYOR;32960;N/A;6
86;Putumayo;86760;Santiago;1;Enero - Septiembre;2023;86760-Enero - Septiembre-2023;1.0;100.0;MAYOR;7509;N/A;6
86;Putumayo;86760;Santiago;0;Enero - Septiembre;2022;86760-Enero - Septiembre-2022;F;F;MAYOR;7509;N/A;6
86;Putumayo;86757;San Miguel;5;Enero - Septiembre;2023;86757-Enero - Septiembre-2023;-2.0;-28.57142857142857;MENOR;19973;PDET;6
86;Putumayo;86757;San Miguel;7;Enero - Septiembre;2022;86757-Enero - Septiembre-2022;F;F;MAYOR;19973;PDET;6
86;Putumayo;86755;San Francisco;0;Enero - Septiembre;2023;86755-Enero - Septiembre-2023;0.0;0.0;IGUAL;5720;N/A;6
86;Putumayo;86755;San Francisco;0;Enero - Septiembre;2022;86755-Enero - Septiembre-2022;F;F;MAYOR;5720;N/A;6
8;Atlántico;8675;Santa Lucía;1;Enero - Septiembre;2023;8675-Enero - Septiembre-2023;1.0;100.0;MAYOR;17617;N/A;6
8;Atlántico;8675;Santa Lucía;0;Enero - Septiembre;2022;8675-Enero - Septiembre-2022;F;F;MAYOR;17617;N/A;6
86;Putumayo;86749;Sibundoy;0;Enero - Septiembre;2023;86749-Enero - Septiembre-2023;0.0;0.0;IGUAL;15902;N/A;6
86;Putumayo;86749;Sibundoy;0;Enero - Septiembre;2022;86749-Enero - Septiembre-2022;F;F;MAYOR;15902;N/A;6
86;Putumayo;86573;Puerto Leguízamo;10;Enero - Septiembre;2023;86573-Enero - Septiembre-2023;-10.0;-50.0;MENOR;30312;PDET;6
86;Putumayo;86573;Puerto Leguízamo;20;Enero - Septiembre;2022;86573-Enero - Septiembre-2022;F;F;MAYOR;30312;PDET;6
86;Putumayo;86571;Puerto Guzmán;28;Enero - Septiembre;2023;86571-Enero - Septiembre-2023;-9.0;-24.324324324324326;MENOR;37682;PDET;6
86;Putumayo;86571;Puerto Guzmán;37;Enero - Septiembre;2022;86571-Enero - Septiembre-2022;F;F;MAYOR;37682;PDET;6
86;Putumayo;86569;Puerto Caicedo;10;Enero - Septiembre;2023;86569-Enero - Septiembre-2023;-9.0;-47.368421052631575;MENOR;16448;PDET;6
86;Putumayo;86569;Puerto Caicedo;19;Enero - Septiembre;2022;86569-Enero - Septiembre-2022;F;F;MAYOR;16448;PDET;6
86;Putumayo;86568;Puerto Asís;44;Enero - Septiembre;2023;86568-Enero - Septiembre-2023;21.0;91.30434782608695;MAYOR;69074;PDET;6
86;Putumayo;86568;Puerto Asís;23;Enero - Septiembre;2022;86568-Enero - Septiembre-2022;F;F;MAYOR;69074;PDET;6
8;Atlántico;8638;Sabanalarga;4;Enero - Septiembre;2023;8638-Enero - Septiembre-2023;-3.0;-42.85714285714285;MENOR;103050;N/A;5
8;Atlántico;8638;Sabanalarga;7;Enero - Septiembre;2022;8638-Enero - Septiembre-2022;F;F;MAYOR;103050;N/A;5
8;Atlántico;8634;Sabanagrande;3;Enero - Septiembre;2023;8634-Enero - Septiembre-2023;-1.0;-25.0;MENOR;36144;N/A;6
8;Atlántico;8634;Sabanagrande;4;Enero - Septiembre;2022;8634-Enero - Septiembre-2022;F;F;MAYOR;36144;N/A;6
86;Putumayo;86320;Orito;18;Enero - Septiembre;2023;86320-Enero - Septiembre-2023;2.0;12.5;MAYOR;39810;PDET;6
86;Putumayo;86320;Orito;16;Enero - Septiembre;2022;86320-Enero - Septiembre-2022;F;F;MAYOR;39810;PDET;6
86;Putumayo;86219;Colón;0;Enero - Septiembre;2023;86219-Enero - Septiembre-2023;0.0;0.0;IGUAL;5682;N/A;6
86;Putumayo;86219;Colón;0;Enero - Septiembre;2022;86219-Enero - Septiembre-2022;F;F;MAYOR;5682;N/A;6
8;Atlántico;8606;Repelón;2;Enero - Septiembre;2023;8606-Enero - Septiembre-2023;1.0;100.0;MAYOR;28945;N/A;6
8;Atlántico;8606;Repelón;1;Enero - Septiembre;2022;8606-Enero - Septiembre-2022;F;F;MAYOR;28945;N/A;6
86;Putumayo;86001;Mocoa;13;Enero - Septiembre;2023;86001-Enero - Septiembre-2023;7.0;116.66666666666669;MAYOR;60572;PDET;6
86;Putumayo;86001;Mocoa;6;Enero - Septiembre;2022;86001-Enero - Septiembre-2022;F;F;MAYOR;60572;PDET;6
8;Atlántico;8573;Puerto Colombia;13;Enero - Septiembre;2023;8573-Enero - Septiembre-2023;2.0;18.181818181818183;MAYOR;55269;N/A;3
8;Atlántico;8573;Puerto Colombia;11;Enero - Septiembre;2022;8573-Enero - Septiembre-2022;F;F;MAYOR;55269;N/A;3
8;Atlántico;8560;Ponedera;5;Enero - Septiembre;2023;8560-Enero - Septiembre-2023;1.0;25.0;MAYOR;26505;N/A;6
8;Atlántico;8560;Ponedera;4;Enero - Septiembre;2022;8560-Enero - Septiembre-2022;F;F;MAYOR;26505;N/A;6
8;Atlántico;8558;Polonuevo;1;Enero - Septiembre;2023;8558-Enero - Septiembre-2023;1.0;100.0;MAYOR;20135;N/A;6
8;Atlántico;8558;Polonuevo;0;Enero - Septiembre;2022;8558-Enero - Septiembre-2022;F;F;MAYOR;20135;N/A;6
8;Atlántico;8549;Piojó;2;Enero - Septiembre;2023;8549-Enero - Septiembre-2023;1.0;100.0;MAYOR;7302;N/A;6
8;Atlántico;8549;Piojó;1;Enero - Septiembre;2022;8549-Enero - Septiembre-2022;F;F;MAYOR;7302;N/A;6
85;Casanare;85440;Villanueva;5;Enero - Septiembre;2023;85440-Enero - Septiembre-2023;-2.0;-28.57142857142857;MENOR;36752;N/A;5
85;Casanare;85440;Villanueva;7;Enero - Septiembre;2022;85440-Enero - Septiembre-2022;F;F;MAYOR;36752;N/A;5
85;Casanare;85430;Trinidad;0;Enero - Septiembre;2023;85430-Enero - Septiembre-2023;-2.0;-100.0;MENOR;13660;N/A;6
85;Casanare;85430;Trinidad;2;Enero - Septiembre;2022;85430-Enero - Septiembre-2022;F;F;MAYOR;13660;N/A;6
85;Casanare;85410;Tauramena;2;Enero - Septiembre;2023;85410-Enero - Septiembre-2023;0.0;0.0;IGUAL;25573;N/A;4
85;Casanare;85410;Tauramena;2;Enero - Septiembre;2022;85410-Enero - Septiembre-2022;F;F;MAYOR;25573;N/A;4
85;Casanare;85400;Támara;0;Enero - Septiembre;2023;85400-Enero - Septiembre-2023;0.0;0.0;IGUAL;6670;N/A;6
85;Casanare;85400;Támara;0;Enero - Septiembre;2022;85400-Enero - Septiembre-2022;F;F;MAYOR;6670;N/A;6
85;Casanare;85325;San Luis de Palenque;0;Enero - Septiembre;2023;85325-Enero - Septiembre-2023;0.0;0.0;IGUAL;8477;N/A;6
85;Casanare;85325;San Luis de Palenque;0;Enero - Septiembre;2022;85325-Enero - Septiembre-2022;F;F;MAYOR;8477;N/A;6
85;Casanare;85315;Sácama;0;Enero - Septiembre;2023;85315-Enero - Septiembre-2023;0.0;0.0;IGUAL;2091;N/A;6
85;Casanare;85315;Sácama;0;Enero - Septiembre;2022;85315-Enero - Septiembre-2022;F;F;MAYOR;2091;N/A;6
85;Casanare;85300;Sabanalarga;0;Enero - Septiembre;2023;85300-Enero - Septiembre-2023;-1.0;-100.0;MENOR;3625;N/A;6
85;Casanare;85300;Sabanalarga;1;Enero - Septiembre;2022;85300-Enero - Septiembre-2022;F;F;MAYOR;3625;N/A;6
85;Casanare;85279;Recetor;0;Enero - Septiembre;2023;85279-Enero - Septiembre-2023;0.0;0.0;IGUAL;1825;N/A;6
85;Casanare;85279;Recetor;0;Enero - Septiembre;2022;85279-Enero - Septiembre-2022;F;F;MAYOR;1825;N/A;6
85;Casanare;85263;Pore;1;Enero - Septiembre;2023;85263-Enero - Septiembre-2023;0.0;0.0;IGUAL;12248;N/A;6
85;Casanare;85263;Pore;1;Enero - Septiembre;2022;85263-Enero - Septiembre-2022;F;F;MAYOR;12248;N/A;6
85;Casanare;85250;Paz de Ariporo;1;Enero - Septiembre;2023;85250-Enero - Septiembre-2023;-5.0;-83.33333333333334;MENOR;37933;N/A;6
85;Casanare;85250;Paz de Ariporo;6;Enero - Septiembre;2022;85250-Enero - Septiembre-2022;F;F;MAYOR;37933;N/A;6
85;Casanare;85230;Orocué;2;Enero - Septiembre;2023;85230-Enero - Septiembre-2023;-1.0;-33.33333333333333;MENOR;12851;N/A;6
85;Casanare;85230;Orocué;3;Enero - Septiembre;2022;85230-Enero - Septiembre-2022;F;F;MAYOR;12851;N/A;6
85;Casanare;85225;Nunchía;2;Enero - Septiembre;2023;85225-Enero - Septiembre-2023;0.0;0.0;IGUAL;8850;N/A;6
85;Casanare;85225;Nunchía;2;Enero - Septiembre;2022;85225-Enero - Septiembre-2022;F;F;MAYOR;8850;N/A;6
8;Atlántico;8520;Palmar de Varela;2;Enero - Septiembre;2023;8520-Enero - Septiembre-2023;0.0;0.0;IGUAL;31969;N/A;6
8;Atlántico;8520;Palmar de Varela;2;Enero - Septiembre;2022;8520-Enero - Septiembre-2022;F;F;MAYOR;31969;N/A;6
85;Casanare;85162;Monterrey;2;Enero - Septiembre;2023;85162-Enero - Septiembre-2023;0.0;0.0;IGUAL;18292;N/A;6
85;Casanare;85162;Monterrey;2;Enero - Septiembre;2022;85162-Enero - Septiembre-2022;F;F;MAYOR;18292;N/A;6
85;Casanare;85139;Maní;4;Enero - Septiembre;2023;85139-Enero - Septiembre-2023;-8.0;-66.66666666666666;MENOR;17737;N/A;6
85;Casanare;85139;Maní;12;Enero - Septiembre;2022;85139-Enero - Septiembre-2022;F;F;MAYOR;17737;N/A;6
85;Casanare;85136;La Salina;0;Enero - Septiembre;2023;85136-Enero - Septiembre-2023;0.0;0.0;IGUAL;1390;N/A;6
85;Casanare;85136;La Salina;0;Enero - Septiembre;2022;85136-Enero - Septiembre-2022;F;F;MAYOR;1390;N/A;6
85;Casanare;85125;Hato Corozal;0;Enero - Septiembre;2023;85125-Enero - Septiembre-2023;-1.0;-100.0;MENOR;12298;N/A;6
85;Casanare;85125;Hato Corozal;1;Enero - Septiembre;2022;85125-Enero - Septiembre-2022;F;F;MAYOR;12298;N/A;6
85;Casanare;85015;Chámeza;0;Enero - Septiembre;2023;85015-Enero - Septiembre-2023;0.0;0.0;IGUAL;2676;N/A;6
85;Casanare;85015;Chámeza;0;Enero - Septiembre;2022;85015-Enero - Septiembre-2022;F;F;MAYOR;2676;N/A;6
85;Casanare;85010;Aguazul;8;Enero - Septiembre;2023;85010-Enero - Septiembre-2023;2.0;33.33333333333333;MAYOR;38607;N/A;5
85;Casanare;85010;Aguazul;6;Enero - Septiembre;2022;85010-Enero - Septiembre-2022;F;F;MAYOR;38607;N/A;5
85;Casanare;85001;Yopal;17;Enero - Septiembre;2023;85001-Enero - Septiembre-2023;3.0;21.428571428571427;MAYOR;180513;N/A;2
85;Casanare;85001;Yopal;14;Enero - Septiembre;2022;85001-Enero - Septiembre-2022;F;F;MAYOR;180513;N/A;2
8;Atlántico;8436;Manatí;0;Enero - Septiembre;2023;8436-Enero - Septiembre-2023;-2.0;-100.0;MENOR;22090;N/A;6
8;Atlántico;8436;Manatí;2;Enero - Septiembre;2022;8436-Enero - Septiembre-2022;F;F;MAYOR;22090;N/A;6
8;Atlántico;8433;Malambo;52;Enero - Septiembre;2023;8433-Enero - Septiembre-2023;2.0;4.0;MAYOR;143781;N/A;4
8;Atlántico;8433;Malambo;50;Enero - Septiembre;2022;8433-Enero - Septiembre-2022;F;F;MAYOR;143781;N/A;4
8;Atlántico;8421;Luruaco;4;Enero - Septiembre;2023;8421-Enero - Septiembre-2023;2.0;100.0;MAYOR;31230;N/A;6
8;Atlántico;8421;Luruaco;2;Enero - Septiembre;2022;8421-Enero - Septiembre-2022;F;F;MAYOR;31230;N/A;6
8;Atlántico;8372;Juan de Acosta;1;Enero - Septiembre;2023;8372-Enero - Septiembre-2023;-5.0;-83.33333333333334;MENOR;23439;N/A;6
8;Atlántico;8372;Juan de Acosta;6;Enero - Septiembre;2022;8372-Enero - Septiembre-2022;F;F;MAYOR;23439;N/A;6
8;Atlántico;8296;Galapa;3;Enero - Septiembre;2023;8296-Enero - Septiembre-2023;-4.0;-57.14285714285714;MENOR;69045;N/A;6
8;Atlántico;8296;Galapa;7;Enero - Septiembre;2022;8296-Enero - Septiembre-2022;F;F;MAYOR;69045;N/A;6
81;Arauca;81794;Tame;33;Enero - Septiembre;2023;81794-Enero - Septiembre-2023;-27.0;-45.0;MENOR;50754;PDET;6
81;Arauca;81794;Tame;60;Enero - Septiembre;2022;81794-Enero - Septiembre-2022;F;F;MAYOR;50754;PDET;6
81;Arauca;81736;Saravena;24;Enero - Septiembre;2023;81736-Enero - Septiembre-2023;-79.0;-76.69902912621359;MENOR;65314;PDET;6
