DEPARTAMENTO;MUNICIPIO;AÑO;CONCAT;CODIGO_DANE;CASOS;POBLACIÓN;TASA;PORCENTAJE;Mun_Dep;CAMBIO;CamPORC;CAMBIOConteo;CamCasos;CamCasosPorc;PDET;CATEGORIA
VICHADA;SANTA ROSALÍA;2019;99624-2019;99624;1;4130;24.213075060532688;0.0079013906447534;SANTA ROSALÍA - VICHADA;Menor;1.7191283292978312;Igual;0.0;0.0;N/A;6
VICHADA;SANTA ROSALÍA;2018;99624-2018;99624;1;4059;24.636610002463662;0.0078945290913397;SANTA ROSALÍA - VICHADA;Mayor;inf;Mayor;1.0;inf;N/A;6
VICHADA;SANTA ROSALÍA;2017;99624-2017;99624;0;4028;0.0;0.0;SANTA ROSALÍA - VICHADA;Mayor;nan;Igual;0.0;nan;N/A;6
VICHADA;SANTA ROSALÍA;2016;99624-2016;99624;0;3942;0.0;0.0;SANTA ROSALÍA - VICHADA;Mayor;nan;Igual;0.0;nan;N/A;6
VICHADA;SANTA ROSALÍA;2015;99624-2015;99624;0;3916;0.0;0.0;SANTA ROSALÍA - VICHADA;Mayor;nan;Igual;0.0;nan;N/A;6
VICHADA;SANTA ROSALÍA;2014;99624-2014;99624;0;3836;0.0;0.0;SANTA ROSALÍA - VICHADA;Mayor;nan;Igual;0.0;nan;N/A;6
VICHADA;SANTA ROSALÍA;2013;99624-2013;99624;0;3766;0.0;0.0;SANTA ROSALÍA - VICHADA;Mayor;nan;Igual;0.0;nan;N/A;6
VICHADA;SANTA ROSALÍA;2012;99624-2012;99624;0;3713;0.0;0.0;SANTA ROSALÍA - VICHADA;Mayor;nan;Igual;0.0;nan;N/A;6
VICHADA;SANTA ROSALÍA;2011;99624-2011;99624;0;3657;0.0;0.0;SANTA ROSALÍA - VICHADA;Menor;100.0;Menor;2.0;100.0;N/A;6
VICHADA;SANTA ROSALÍA;2010;99624-2010;99624;2;3612;55.370985603543744;0.0394244037058939;SANTA ROSALÍA - VICHADA;NA;NA;NA;NA;NA;N/A;6
VICHADA;LA PRIMAVERA;2023;99524-2023;99524;1;9946;10.05429318318922;0.0131061598951507;LA PRIMAVERA - VICHADA;Menor;67.00180977277299;Menor;2.0;66.66666666666666;N/A;6
VICHADA;LA PRIMAVERA;2022;99524-2022;99524;3;9846;30.469226081657528;0.0223181074244904;LA PRIMAVERA - VICHADA;Mayor;196.86166971358932;Mayor;2.0;200.0;N/A;6
VICHADA;LA PRIMAVERA;2021;99524-2021;99524;1;9743;10.263779123473263;0.0072082462336913;LA PRIMAVERA - VICHADA;Menor;67.12853672722295;Menor;2.0;66.66666666666666;N/A;6
VICHADA;LA PRIMAVERA;2020;99524-2020;99524;3;9608;31.22398001665279;0.0215007525263384;LA PRIMAVERA - VICHADA;Mayor;inf;Mayor;3.0;inf;N/A;6
VICHADA;LA PRIMAVERA;2019;99524-2019;99524;0;9799;0.0;0.0;LA PRIMAVERA - VICHADA;Menor;100.0;Menor;3.0;100.0;N/A;6
VICHADA;LA PRIMAVERA;2018;99524-2018;99524;3;10122;29.638411381149968;0.0236835872740191;LA PRIMAVERA - VICHADA;Mayor;inf;Mayor;3.0;inf;N/A;6
VICHADA;LA PRIMAVERA;2017;99524-2017;99524;0;10046;0.0;0.0;LA PRIMAVERA - VICHADA;Menor;100.0;Menor;3.0;100.0;N/A;6
VICHADA;LA PRIMAVERA;2016;99524-2016;99524;3;9863;30.416708912095714;0.0246629398224268;LA PRIMAVERA - VICHADA;Menor;40.65700091250126;Menor;2.0;40.0;N/A;6
VICHADA;LA PRIMAVERA;2015;99524-2015;99524;5;9755;51.25576627370579;0.0401284109149277;LA PRIMAVERA - VICHADA;Mayor;65.16316418930464;Mayor;2.0;66.66666666666666;N/A;6
VICHADA;LA PRIMAVERA;2014;99524-2014;99524;3;9667;31.03341264094341;0.0231517209445902;LA PRIMAVERA - VICHADA;Menor;25.643943312299584;Menor;1.0;25.0;N/A;6
VICHADA;LA PRIMAVERA;2013;99524-2013;99524;4;9584;41.736227045075125;0.0267183220893727;LA PRIMAVERA - VICHADA;Menor;1.6485809682804415;Igual;0.0;0.0;N/A;6
