departamento;ano;casos;proyeccion;tasa;CambioConteo;CambioCasos;CambioCasosPor
VICHADA;2017;23;105059;21.892460426998163;Mayor;8.0;53.33333333333334
VICHADA;2016;15;102663;14.61091142865492;Menor;2.0;11.764705882352942
VICHADA;2015;17;100392;16.933620208781576;Igual;0.0;0.0
VICHADA;2014;17;98228;17.306674268029482;Igual;0.0;0.0
VICHADA;2013;17;96057;17.69782524959139;Menor;13.0;43.333333333333336
VICHADA;2012;30;93849;31.966243646709074;Mayor;15.0;100.0
VICHADA;2011;15;91602;16.375188314665618;Mayor;7.0;87.5
VICHADA;2010;8;89314;8.95716237096088;NA;NA;NA
BOYACÁ;2023;57;1267378;4.497474313109427;Menor;48.0;45.714285714285715
BOYACÁ;2022;105;1259601;8.335973058135076;Mayor;20.0;23.529411764705884
BOYACÁ;2021;85;1251675;6.790900193740388;Igual;0.0;0.0
BOYACÁ;2020;85;1242731;6.839774657588811;Menor;6.0;6.593406593406598
BOYACÁ;2019;91;1230910;7.392904436555069;Mayor;5.0;5.813953488372093
BOYACÁ;2018;86;1217376;7.064374523565439;Mayor;10.0;13.15789473684211
BOYACÁ;2017;76;1207665;6.293135927595816;Menor;30.0;28.301886792452834
BOYACÁ;2016;106;1199978;8.833495280746813;Menor;10.0;8.620689655172413
BOYACÁ;2015;116;1193206;9.72170773529466;Mayor;3.0;2.654867256637175
BOYACÁ;2014;113;1187249;9.517801236303422;Menor;4.0;3.418803418803421
BOYACÁ;2013;117;1181580;9.90199563296603;Menor;11.0;8.59375
BOYACÁ;2012;128;1176069;10.883715156168558;Mayor;21.0;19.626168224299064
BOYACÁ;2011;107;1170640;9.140299323447003;Mayor;64.0;148.8372093023256
BOYACÁ;2010;43;1165204;3.690340918843396;NA;NA;NA
SUCRE;2023;218;981727;22.205765961412897;Mayor;12.0;5.825242718446603
SUCRE;2022;206;972350;21.185787010850003;Menor;22.0;9.649122807017548
SUCRE;2021;228;962457;23.689370018608624;Mayor;66.0;40.74074074074073
